#indeks,segment,pozycja,pokrycie
292,hRSV/A/England/397/2017,292,678
293,hRSV/A/England/397/2017,293,674
294,hRSV/A/England/397/2017,294,677
295,hRSV/A/England/397/2017,295,677
296,hRSV/A/England/397/2017,296,695
297,hRSV/A/England/397/2017,297,714
298,hRSV/A/England/397/2017,298,724
299,hRSV/A/England/397/2017,299,747
300,hRSV/A/England/397/2017,300,731
301,hRSV/A/England/397/2017,301,733
302,hRSV/A/England/397/2017,302,743
303,hRSV/A/England/397/2017,303,744
304,hRSV/A/England/397/2017,304,759
305,hRSV/A/England/397/2017,305,752
306,hRSV/A/England/397/2017,306,749
307,hRSV/A/England/397/2017,307,753
308,hRSV/A/England/397/2017,308,756
309,hRSV/A/England/397/2017,309,754
310,hRSV/A/England/397/2017,310,762
311,hRSV/A/England/397/2017,311,767
312,hRSV/A/England/397/2017,312,764
313,hRSV/A/England/397/2017,313,801
314,hRSV/A/England/397/2017,314,814
315,hRSV/A/England/397/2017,315,803
316,hRSV/A/England/397/2017,316,803
317,hRSV/A/England/397/2017,317,797
318,hRSV/A/England/397/2017,318,805
319,hRSV/A/England/397/2017,319,807
320,hRSV/A/England/397/2017,320,806
321,hRSV/A/England/397/2017,321,827
322,hRSV/A/England/397/2017,322,805
323,hRSV/A/England/397/2017,323,813
324,hRSV/A/England/397/2017,324,814
325,hRSV/A/England/397/2017,325,806
326,hRSV/A/England/397/2017,326,814
327,hRSV/A/England/397/2017,327,815
328,hRSV/A/England/397/2017,328,846
329,hRSV/A/England/397/2017,329,855
330,hRSV/A/England/397/2017,330,848
331,hRSV/A/England/397/2017,331,850
332,hRSV/A/England/397/2017,332,865
333,hRSV/A/England/397/2017,333,866
334,hRSV/A/England/397/2017,334,866
335,hRSV/A/England/397/2017,335,864
336,hRSV/A/England/397/2017,336,865
337,hRSV/A/England/397/2017,337,831
338,hRSV/A/England/397/2017,338,825
339,hRSV/A/England/397/2017,339,831
340,hRSV/A/England/397/2017,340,826
341,hRSV/A/England/397/2017,341,811
342,hRSV/A/England/397/2017,342,810
343,hRSV/A/England/397/2017,343,812
344,hRSV/A/England/397/2017,344,810
345,hRSV/A/England/397/2017,345,812
346,hRSV/A/England/397/2017,346,812
347,hRSV/A/England/397/2017,347,810
348,hRSV/A/England/397/2017,348,808
349,hRSV/A/England/397/2017,349,822
350,hRSV/A/England/397/2017,350,829
351,hRSV/A/England/397/2017,351,844
352,hRSV/A/England/397/2017,352,841
353,hRSV/A/England/397/2017,353,842
354,hRSV/A/England/397/2017,354,842
355,hRSV/A/England/397/2017,355,841
356,hRSV/A/England/397/2017,356,843
357,hRSV/A/England/397/2017,357,845
358,hRSV/A/England/397/2017,358,851
359,hRSV/A/England/397/2017,359,831
360,hRSV/A/England/397/2017,360,829
361,hRSV/A/England/397/2017,361,818
362,hRSV/A/England/397/2017,362,825
363,hRSV/A/England/397/2017,363,823
364,hRSV/A/England/397/2017,364,825
365,hRSV/A/England/397/2017,365,824
366,hRSV/A/England/397/2017,366,820
367,hRSV/A/England/397/2017,367,824
368,hRSV/A/England/397/2017,368,822
369,hRSV/A/England/397/2017,369,824
370,hRSV/A/England/397/2017,370,824
371,hRSV/A/England/397/2017,371,795
372,hRSV/A/England/397/2017,372,788
373,hRSV/A/England/397/2017,373,785
374,hRSV/A/England/397/2017,374,783
375,hRSV/A/England/397/2017,375,778
376,hRSV/A/England/397/2017,376,771
377,hRSV/A/England/397/2017,377,770
378,hRSV/A/England/397/2017,378,763
379,hRSV/A/England/397/2017,379,740
380,hRSV/A/England/397/2017,380,734
381,hRSV/A/England/397/2017,381,732
382,hRSV/A/England/397/2017,382,734
383,hRSV/A/England/397/2017,383,733
384,hRSV/A/England/397/2017,384,731
385,hRSV/A/England/397/2017,385,731
386,hRSV/A/England/397/2017,386,665
387,hRSV/A/England/397/2017,387,665
388,hRSV/A/England/397/2017,388,665
389,hRSV/A/England/397/2017,389,663
390,hRSV/A/England/397/2017,390,662
391,hRSV/A/England/397/2017,391,654
392,hRSV/A/England/397/2017,392,652
393,hRSV/A/England/397/2017,393,648
394,hRSV/A/England/397/2017,394,642
395,hRSV/A/England/397/2017,395,641
396,hRSV/A/England/397/2017,396,640
397,hRSV/A/England/397/2017,397,640
398,hRSV/A/England/397/2017,398,639
399,hRSV/A/England/397/2017,399,632
400,hRSV/A/England/397/2017,400,632
401,hRSV/A/England/397/2017,401,988
402,hRSV/A/England/397/2017,402,985
403,hRSV/A/England/397/2017,403,988
404,hRSV/A/England/397/2017,404,986
405,hRSV/A/England/397/2017,405,986
406,hRSV/A/England/397/2017,406,987
407,hRSV/A/England/397/2017,407,984
408,hRSV/A/England/397/2017,408,994
409,hRSV/A/England/397/2017,409,989
410,hRSV/A/England/397/2017,410,1032
411,hRSV/A/England/397/2017,411,1033
412,hRSV/A/England/397/2017,412,1038
413,hRSV/A/England/397/2017,413,1038
414,hRSV/A/England/397/2017,414,1034
415,hRSV/A/England/397/2017,415,1082
416,hRSV/A/England/397/2017,416,1088
417,hRSV/A/England/397/2017,417,1086
418,hRSV/A/England/397/2017,418,1051
419,hRSV/A/England/397/2017,419,1041
420,hRSV/A/England/397/2017,420,1046
421,hRSV/A/England/397/2017,421,1020
422,hRSV/A/England/397/2017,422,1033
423,hRSV/A/England/397/2017,423,1042
424,hRSV/A/England/397/2017,424,1029
425,hRSV/A/England/397/2017,425,1063
426,hRSV/A/England/397/2017,426,1051
427,hRSV/A/England/397/2017,427,1042
428,hRSV/A/England/397/2017,428,1045
429,hRSV/A/England/397/2017,429,1048
430,hRSV/A/England/397/2017,430,1059
431,hRSV/A/England/397/2017,431,1056
432,hRSV/A/England/397/2017,432,1049
433,hRSV/A/England/397/2017,433,1053
434,hRSV/A/England/397/2017,434,1003
435,hRSV/A/England/397/2017,435,1024
436,hRSV/A/England/397/2017,436,1027
437,hRSV/A/England/397/2017,437,1036
438,hRSV/A/England/397/2017,438,1068
439,hRSV/A/England/397/2017,439,1038
440,hRSV/A/England/397/2017,440,1049
441,hRSV/A/England/397/2017,441,1050
442,hRSV/A/England/397/2017,442,1047
443,hRSV/A/England/397/2017,443,1058
444,hRSV/A/England/397/2017,444,1009
445,hRSV/A/England/397/2017,445,1002
446,hRSV/A/England/397/2017,446,976
447,hRSV/A/England/397/2017,447,914
448,hRSV/A/England/397/2017,448,903
449,hRSV/A/England/397/2017,449,902
450,hRSV/A/England/397/2017,450,711
451,hRSV/A/England/397/2017,451,718
452,hRSV/A/England/397/2017,452,722
453,hRSV/A/England/397/2017,453,724
454,hRSV/A/England/397/2017,454,724
455,hRSV/A/England/397/2017,455,731
456,hRSV/A/England/397/2017,456,742
457,hRSV/A/England/397/2017,457,752
458,hRSV/A/England/397/2017,458,756
459,hRSV/A/England/397/2017,459,759
460,hRSV/A/England/397/2017,460,774
461,hRSV/A/England/397/2017,461,776
462,hRSV/A/England/397/2017,462,778
463,hRSV/A/England/397/2017,463,780
464,hRSV/A/England/397/2017,464,784
465,hRSV/A/England/397/2017,465,796
466,hRSV/A/England/397/2017,466,799
467,hRSV/A/England/397/2017,467,799
468,hRSV/A/England/397/2017,468,803
469,hRSV/A/England/397/2017,469,803
470,hRSV/A/England/397/2017,470,821
471,hRSV/A/England/397/2017,471,823
472,hRSV/A/England/397/2017,472,828
473,hRSV/A/England/397/2017,473,828
474,hRSV/A/England/397/2017,474,845
475,hRSV/A/England/397/2017,475,846
476,hRSV/A/England/397/2017,476,861
477,hRSV/A/England/397/2017,477,871
478,hRSV/A/England/397/2017,478,871
479,hRSV/A/England/397/2017,479,874
480,hRSV/A/England/397/2017,480,876
481,hRSV/A/England/397/2017,481,876
482,hRSV/A/England/397/2017,482,882
483,hRSV/A/England/397/2017,483,883
484,hRSV/A/England/397/2017,484,900
485,hRSV/A/England/397/2017,485,896
486,hRSV/A/England/397/2017,486,896
487,hRSV/A/England/397/2017,487,900
488,hRSV/A/England/397/2017,488,922
489,hRSV/A/England/397/2017,489,925
490,hRSV/A/England/397/2017,490,928
491,hRSV/A/England/397/2017,491,928
492,hRSV/A/England/397/2017,492,929
493,hRSV/A/England/397/2017,493,894
494,hRSV/A/England/397/2017,494,906
495,hRSV/A/England/397/2017,495,906
496,hRSV/A/England/397/2017,496,908
497,hRSV/A/England/397/2017,497,908
498,hRSV/A/England/397/2017,498,911
499,hRSV/A/England/397/2017,499,907
500,hRSV/A/England/397/2017,500,905
501,hRSV/A/England/397/2017,501,905
502,hRSV/A/England/397/2017,502,904
503,hRSV/A/England/397/2017,503,903
504,hRSV/A/England/397/2017,504,906
505,hRSV/A/England/397/2017,505,904
506,hRSV/A/England/397/2017,506,905
507,hRSV/A/England/397/2017,507,905
508,hRSV/A/England/397/2017,508,906
509,hRSV/A/England/397/2017,509,888
510,hRSV/A/England/397/2017,510,889
511,hRSV/A/England/397/2017,511,897
512,hRSV/A/England/397/2017,512,898
513,hRSV/A/England/397/2017,513,907
514,hRSV/A/England/397/2017,514,908
515,hRSV/A/England/397/2017,515,918
516,hRSV/A/England/397/2017,516,918
517,hRSV/A/England/397/2017,517,926
518,hRSV/A/England/397/2017,518,926
519,hRSV/A/England/397/2017,519,925
520,hRSV/A/England/397/2017,520,932
521,hRSV/A/England/397/2017,521,925
522,hRSV/A/England/397/2017,522,941
523,hRSV/A/England/397/2017,523,940
524,hRSV/A/England/397/2017,524,933
525,hRSV/A/England/397/2017,525,935
526,hRSV/A/England/397/2017,526,938
527,hRSV/A/England/397/2017,527,934
528,hRSV/A/England/397/2017,528,934
529,hRSV/A/England/397/2017,529,927
530,hRSV/A/England/397/2017,530,907
531,hRSV/A/England/397/2017,531,879
532,hRSV/A/England/397/2017,532,878
533,hRSV/A/England/397/2017,533,855
534,hRSV/A/England/397/2017,534,864
535,hRSV/A/England/397/2017,535,863
536,hRSV/A/England/397/2017,536,865
537,hRSV/A/England/397/2017,537,856
538,hRSV/A/England/397/2017,538,829
539,hRSV/A/England/397/2017,539,801
540,hRSV/A/England/397/2017,540,823
541,hRSV/A/England/397/2017,541,817
542,hRSV/A/England/397/2017,542,816
543,hRSV/A/England/397/2017,543,814
544,hRSV/A/England/397/2017,544,828
545,hRSV/A/England/397/2017,545,831
546,hRSV/A/England/397/2017,546,822
547,hRSV/A/England/397/2017,547,820
548,hRSV/A/England/397/2017,548,808
549,hRSV/A/England/397/2017,549,775
550,hRSV/A/England/397/2017,550,778
551,hRSV/A/England/397/2017,551,778
552,hRSV/A/England/397/2017,552,778
553,hRSV/A/England/397/2017,553,776
554,hRSV/A/England/397/2017,554,773
555,hRSV/A/England/397/2017,555,773
556,hRSV/A/England/397/2017,556,772
557,hRSV/A/England/397/2017,557,774
558,hRSV/A/England/397/2017,558,766
559,hRSV/A/England/397/2017,559,787
560,hRSV/A/England/397/2017,560,802
561,hRSV/A/England/397/2017,561,803
562,hRSV/A/England/397/2017,562,803
563,hRSV/A/England/397/2017,563,779
564,hRSV/A/England/397/2017,564,775
565,hRSV/A/England/397/2017,565,775
566,hRSV/A/England/397/2017,566,773
567,hRSV/A/England/397/2017,567,753
568,hRSV/A/England/397/2017,568,752
569,hRSV/A/England/397/2017,569,755
570,hRSV/A/England/397/2017,570,747
571,hRSV/A/England/397/2017,571,739
572,hRSV/A/England/397/2017,572,762
573,hRSV/A/England/397/2017,573,747
574,hRSV/A/England/397/2017,574,768
575,hRSV/A/England/397/2017,575,768
576,hRSV/A/England/397/2017,576,768
577,hRSV/A/England/397/2017,577,769
578,hRSV/A/England/397/2017,578,764
579,hRSV/A/England/397/2017,579,766
580,hRSV/A/England/397/2017,580,774
581,hRSV/A/England/397/2017,581,769
582,hRSV/A/England/397/2017,582,775
583,hRSV/A/England/397/2017,583,765
584,hRSV/A/England/397/2017,584,764
585,hRSV/A/England/397/2017,585,746
586,hRSV/A/England/397/2017,586,740
587,hRSV/A/England/397/2017,587,738
588,hRSV/A/England/397/2017,588,741
589,hRSV/A/England/397/2017,589,742
590,hRSV/A/England/397/2017,590,742
591,hRSV/A/England/397/2017,591,743
592,hRSV/A/England/397/2017,592,746
593,hRSV/A/England/397/2017,593,746
594,hRSV/A/England/397/2017,594,753
595,hRSV/A/England/397/2017,595,755
596,hRSV/A/England/397/2017,596,786
597,hRSV/A/England/397/2017,597,787
598,hRSV/A/England/397/2017,598,790
599,hRSV/A/England/397/2017,599,787
600,hRSV/A/England/397/2017,600,782
601,hRSV/A/England/397/2017,601,785
602,hRSV/A/England/397/2017,602,789
603,hRSV/A/England/397/2017,603,799
604,hRSV/A/England/397/2017,604,800
605,hRSV/A/England/397/2017,605,793
606,hRSV/A/England/397/2017,606,814
607,hRSV/A/England/397/2017,607,811
608,hRSV/A/England/397/2017,608,829
609,hRSV/A/England/397/2017,609,835
610,hRSV/A/England/397/2017,610,830
611,hRSV/A/England/397/2017,611,834
612,hRSV/A/England/397/2017,612,826
613,hRSV/A/England/397/2017,613,875
614,hRSV/A/England/397/2017,614,874
615,hRSV/A/England/397/2017,615,882
616,hRSV/A/England/397/2017,616,882
617,hRSV/A/England/397/2017,617,870
618,hRSV/A/England/397/2017,618,894
619,hRSV/A/England/397/2017,619,895
620,hRSV/A/England/397/2017,620,890
621,hRSV/A/England/397/2017,621,893
622,hRSV/A/England/397/2017,622,857
623,hRSV/A/England/397/2017,623,854
624,hRSV/A/England/397/2017,624,841
625,hRSV/A/England/397/2017,625,838
626,hRSV/A/England/397/2017,626,866
627,hRSV/A/England/397/2017,627,860
628,hRSV/A/England/397/2017,628,863
629,hRSV/A/England/397/2017,629,860
630,hRSV/A/England/397/2017,630,860
631,hRSV/A/England/397/2017,631,869
632,hRSV/A/England/397/2017,632,855
633,hRSV/A/England/397/2017,633,857
634,hRSV/A/England/397/2017,634,918
635,hRSV/A/England/397/2017,635,925
636,hRSV/A/England/397/2017,636,896
637,hRSV/A/England/397/2017,637,906
638,hRSV/A/England/397/2017,638,906
639,hRSV/A/England/397/2017,639,906
640,hRSV/A/England/397/2017,640,910
641,hRSV/A/England/397/2017,641,908
642,hRSV/A/England/397/2017,642,914
643,hRSV/A/England/397/2017,643,912
644,hRSV/A/England/397/2017,644,909
645,hRSV/A/England/397/2017,645,909
646,hRSV/A/England/397/2017,646,902
647,hRSV/A/England/397/2017,647,902
648,hRSV/A/England/397/2017,648,898
649,hRSV/A/England/397/2017,649,904
650,hRSV/A/England/397/2017,650,901
651,hRSV/A/England/397/2017,651,900
652,hRSV/A/England/397/2017,652,897
653,hRSV/A/England/397/2017,653,895
654,hRSV/A/England/397/2017,654,898
655,hRSV/A/England/397/2017,655,894
656,hRSV/A/England/397/2017,656,899
657,hRSV/A/England/397/2017,657,896
658,hRSV/A/England/397/2017,658,889
659,hRSV/A/England/397/2017,659,889
660,hRSV/A/England/397/2017,660,888
661,hRSV/A/England/397/2017,661,885
662,hRSV/A/England/397/2017,662,885
663,hRSV/A/England/397/2017,663,873
664,hRSV/A/England/397/2017,664,875
665,hRSV/A/England/397/2017,665,857
666,hRSV/A/England/397/2017,666,856
667,hRSV/A/England/397/2017,667,855
668,hRSV/A/England/397/2017,668,853
669,hRSV/A/England/397/2017,669,857
670,hRSV/A/England/397/2017,670,852
671,hRSV/A/England/397/2017,671,851
672,hRSV/A/England/397/2017,672,858
673,hRSV/A/England/397/2017,673,852
674,hRSV/A/England/397/2017,674,864
675,hRSV/A/England/397/2017,675,868
676,hRSV/A/England/397/2017,676,865
677,hRSV/A/England/397/2017,677,865
678,hRSV/A/England/397/2017,678,850
679,hRSV/A/England/397/2017,679,835
680,hRSV/A/England/397/2017,680,834
681,hRSV/A/England/397/2017,681,809
682,hRSV/A/England/397/2017,682,798
683,hRSV/A/England/397/2017,683,812
684,hRSV/A/England/397/2017,684,807
685,hRSV/A/England/397/2017,685,805
686,hRSV/A/England/397/2017,686,796
687,hRSV/A/England/397/2017,687,793
688,hRSV/A/England/397/2017,688,793
689,hRSV/A/England/397/2017,689,793
690,hRSV/A/England/397/2017,690,793
691,hRSV/A/England/397/2017,691,788
692,hRSV/A/England/397/2017,692,746
693,hRSV/A/England/397/2017,693,745
694,hRSV/A/England/397/2017,694,744
695,hRSV/A/England/397/2017,695,743
696,hRSV/A/England/397/2017,696,743
